1246.76, 1122.34, 0.7272727272727273
1239.62, 1026.6, 0.7272727272727273
1203.0, 1100.58, 0.6363636363636364
1104.88, 943.22, 0.6363636363636364
1087.82, 1038.02, 0.5454545454545454
1065.92, 1121.42, 0.5454545454545454
1035.04, 1103.74, 0.5454545454545454
1116.18, 1285.02, 0.45454545454545453
1109.86, 1070.48, 0.45454545454545453
1079.5, 1076.52, 0.45454545454545453
1165.28, 1252.84, 0.36363636363636365
1161.2, 1128.14, 0.36363636363636365
1080.34, 1190.34, 0.36363636363636365
1044.44, 1280.58, 0.18181818181818182
